age_upon_outcome,animal_id,animal_type,breed,color,date_of_birth,datetime,name,outcome_subtype,outcome_type,sex_upon_outcome
1 year,A683248,Cat,Domestic Shorthair Mix,Blue Tabby,2013-07-08T00:00:00,2014-08-06T14:39:00,*Malcolm,Partner,Transfer,Neutered Male
1 week,A682864,Cat,Domestic Medium Hair Mix,White,2014-06-27T00:00:00,2014-07-04T10:48:00,Lucy,Partner,Transfer,Unknown
2 weeks,A684978,Cat,Domestic Shorthair Mix,Brown Tabby,2014-07-16T00:00:00,2014-07-31T13:22:00,Lucy,Partner,Transfer,Intact Female
1 year,A659579,Cat,Domestic Shorthair Mix,Blue Tabby,2012-07-27T00:00:00,2013-11-03T15:30:00,*Sophie,Partner,Transfer,Spayed Female
2 years,A679503,Cat,Domestic Medium Hair Mix,Black/White,2012-05-21T00:00:00,2014-05-22T19:17:00,Lucy,SCRP,Transfer,Unknown
3 years,A681270,Dog,Cairn Terrier/Yorkshire Terrier,Brown Brindle,2011-06-14T00:00:00,2014-06-19T14:44:00,*Samba,Partner,Transfer,Spayed Female
6 years,A671854,Dog,Rat Terrier Mix,Tricolor,2008-01-31T00:00:00,2014-02-11T16:16:00,Dakota,partner,Adoption,Neutered Male
2 months,A671231,Dog,Dachshund/Harrier,Black/Tan,2013-11-21T00:00:00,2014-01-25T17:13:00,Lucy,partner,Adoption,Neutered Male
4 years,A679178,Dog,Labrador Retriever/Golden Retriever,Red,2010-05-17T00:00:00,2014-06-07T18:38:00,Lugs,partner,Adoption,Neutered Male
1 month,A677812,Cat,Manx Mix,Brown Tabby,2014-04-03T00:00:00,2014-05-22T18:32:00,*Hawk,In Foster,Died,Intact Male
2 months,A669996,Dog,Chihuahua Shorthair Mix,Red,2013-10-16T00:00:00,2014-01-04T14:39:00,Buck,partner,Adoption,Intact Male
1 year,A624126,Dog,Pit Bull Mix,Blue Tiger/White,2012-01-28T00:00:00,2013-11-19T12:26:00,Blue,partner,Return to Owner,Neutered Male
2 months,A674707,Dog,Soft Coated Wheaten Terrier Mix,Buff/Tan,2014-01-17T00:00:00,2014-03-22T09:56:00,Ziggy,partner,Adoption,Intact Female
6 months,A666309,Cat,Domestic Shorthair Mix,Tortie,2013-05-30T00:00:00,2013-12-04T12:45:00,Gracie,Partner,Transfer,Spayed Female
2 years,A658747,Dog,Labrador Retriever/Pit Bull,Black/White,2011-07-14T00:00:00,2013-10-13T15:29:00,Boots,partner,Adoption,Neutered Male
1 month,A686144,Cat,Domestic Shorthair Mix,Black/White,2014-07-10T00:00:00,2014-08-24T14:23:00,*Hans,Partner,Transfer,Intact Male
2 months,A675365,Dog,Labrador Retriever Mix,Cream,2013-12-30T00:00:00,2014-03-30T18:16:00,Lucy,partner,Adoption,Spayed Female
2 years,A681642,Dog,Chihuahua Shorthair Mix,Chocolate/White,2012-06-19T00:00:00,2014-06-23T17:14:00,Honey,partner,Adoption,Spayed Female
1 year,A674045,Other,Raccoon Mix,Sable,2013-03-06T00:00:00,2014-03-06T16:59:00,Lucy,Rabies Risk,Euthanasia,Unknown
1 year,A673120,Dog,Maltese/Toy Poodle,Tan,2013-02-19T00:00:00,2014-03-08T17:14:00,Honey,partner,Adoption,Spayed Female
4 years,A679580,Dog,Pug/Chihuahua Shorthair,White/Brown,2010-05-23T00:00:00,2014-06-10T16:35:00,*Chalupa,Partner,Transfer,Spayed Female
2 months,A685492,Cat,Domestic Shorthair Mix,Orange Tabby,2014-06-05T00:00:00,2014-08-17T15:09:00,*Luke,Partner,Transfer,Neutered Male
3 years,A625175,Dog,Chihuahua Shorthair Mix,Black,2011-04-21T00:00:00,2014-05-24T15:30:00,Kiko,Partner,Transfer,Neutered Male
3 weeks,A665125,Cat,Domestic Medium Hair Mix,Brown Tabby,2013-09-22T00:00:00,2013-10-14T12:16:00,Lucy,Partner,Transfer,Intact Male
8 months,A679098,Dog,Pit Bull Mix,Brown/White,2013-09-16T00:00:00,2014-05-27T18:31:00,Lola,partner,Return to Owner,Spayed Female
3 years,A675118,Dog,Boxer,Red/Black,2011-03-23T00:00:00,2014-03-30T14:48:00,Lucy,Partner,Transfer,Spayed Female
3 days,A673522,Cat,Domestic Shorthair Mix,Black,2014-02-24T00:00:00,2014-02-27T11:19:00,Lucy,Partner,Transfer,Intact Male
1 month,A682606,Dog,Labrador Retriever Mix,Chocolate/White,2014-06-03T00:00:00,2014-08-01T17:20:00,Diesel,Foster,Adoption,Neutered Male
2 years,A672843,Dog,Chihuahua Shorthair Mix,Black/Tan,2012-02-17T00:00:00,2014-03-13T14:24:00,*Lanie,Partner,Transfer,Spayed Female
5 years,A681426,Cat,Domestic Shorthair Mix,Brown Tabby/White,2009-06-16T00:00:00,2014-07-13T17:13:00,Angel,partner,Adoption,Neutered Male
1 year,A678530,Dog,Chihuahua Shorthair Mix,Brown/White,2013-05-09T00:00:00,2014-05-11T18:32:00,Z,partner,Return to Owner,Neutered Male
1 week,A677589,Cat,Domestic Shorthair Mix,Brown Tabby,2014-04-19T00:00:00,2014-04-26T17:04:00,Lucy,Partner,Transfer,Unknown
10 years,A659113,Dog,Miniature Pinscher,Black/Brown,2003-07-19T00:00:00,2013-12-09T19:21:00,*Monty,Foster,Adoption,Neutered Male
2 weeks,A680862,Bird,Duck,Yellow/Black,2014-05-25T00:00:00,2014-06-10T00:00:00,Lucy,Partner,Transfer,Unknown
6 days,A685960,Cat,Domestic Shorthair Mix,Black/White,2014-08-13T00:00:00,2014-08-19T08:22:00,Lucy,Partner,Transfer,Intact Male
8 years,A671736,Dog,French Bulldog,Cream,2006-01-30T00:00:00,2014-01-30T16:15:00,Tank,Partner,Transfer,Neutered Male
3 weeks,A678833,Cat,Domestic Shorthair Mix,Black/White,2014-04-21T00:00:00,2014-05-13T13:03:00,Lucy,Partner,Transfer,Unknown
8 years,A468181,Dog,Boxer/Pit Bull,Tan/White,2005-10-17T00:00:00,2013-11-20T14:29:00,Marley,partner,Return to Owner,Neutered Male
6 months,A667635,Cat,Domestic Medium Hair Mix,Orange Tabby/White,2013-05-20T00:00:00,2013-11-20T17:52:00,Lucy,Suffering,Euthanasia,Unknown
1 year,A669424,Dog,Pit Bull Mix,White/Brown,2013-02-20T00:00:00,2014-03-15T14:18:00,Amelia,partner,Adoption,Spayed Female
2 years,A669131,Dog,Labrador Retriever Mix,Black/White,2011-12-15T00:00:00,2013-12-28T15:26:00,Lucky,partner,Adoption,Neutered Male
5 months,A681193,Dog,Labrador Retriever Mix,Black/White,2014-01-11T00:00:00,2014-06-19T16:56:00,Lucy,Partner,Transfer,Intact Female
4 months,A661132,Cat,Domestic Shorthair Mix,Cream Tabby,2013-06-01T00:00:00,2013-10-15T10:37:00,*Fanta,partner,Adoption,Spayed Female
3 months,A678240,Dog,Australian Cattle Dog,Tan/White,2014-01-06T00:00:00,2014-05-06T14:52:00,Lucy,Partner,Transfer,Intact Female
2 years,A678643,Cat,Siamese Mix,Silver Lynx Point,2012-05-11T00:00:00,2014-05-16T17:16:00,Lucy,Partner,Transfer,Spayed Female
2 months,A663920,Cat,Snowshoe Mix,Blue Point,2013-07-19T00:00:00,2013-10-01T16:53:00,Sparkle,partner,Adoption,Spayed Female
3 months,A676274,Cat,Domestic Shorthair Mix,Brown Tabby,2014-04-01T00:00:00,2014-07-12T17:15:00,Lucy,Foster,Adoption,Spayed Female
10 years,A683424,Dog,Schipperke Mix,Red/Black,2004-07-10T00:00:00,2014-07-10T15:01:00,Rufus,partner,Return to Owner,Neutered Male
3 months,A681283,Dog,Cairn Terrier Mix,Brown,2014-03-14T00:00:00,2014-06-20T17:51:00,Lucy,partner,Adoption,Neutered Male
6 years,A611032,Dog,Basset Hound,Tricolor,2008-04-02T00:00:00,2014-08-05T16:09:00,Trousers,partner,Return to Owner,Intact Male
2 months,A685563,Dog,Catahoula/Pointer,Brown Merle,2014-06-09T00:00:00,2014-08-12T17:56:00,Captain,partner,Adoption,Neutered Male
2 months,A680684,Cat,Domestic Shorthair Mix,Calico,2014-03-29T00:00:00,2014-06-16T13:53:00,*Tasha,Partner,Transfer,Spayed Female
8 years,A683572,Dog,Collie Smooth Mix,Tan/White,2006-07-12T00:00:00,2014-07-12T13:53:00,George,partner,Return to Owner,Neutered Male
12 years,A680575,Dog,Chihuahua Shorthair,Black/White,2002-06-04T00:00:00,2014-06-12T15:43:00,Gracie,partner,Adoption,Intact Female
4 months,A684480,Cat,Domestic Shorthair Mix,Cream Tabby/White,2014-04-09T00:00:00,2014-08-14T12:04:00,*Rory,partner,Adoption,Neutered Male
10 years,A368930,Dog,Boston Terrier,Brown Brindle/White,2003-11-06T00:00:00,2014-06-13T15:52:00,Lucy,Partner,Transfer,Spayed Female
2 years,A673548,Dog,Black Mouth Cur/Rhod Ridgeback,Brown,2012-02-26T00:00:00,2014-03-03T12:55:00,Mordey,partner,Return to Owner,Neutered Male
3 weeks,A679075,Cat,Domestic Shorthair Mix,Orange Tabby,2014-04-21T00:00:00,2014-05-16T16:19:00,Lucy,Partner,Transfer,Intact Male
6 years,A668600,Dog,Australian Shepherd Mix,Blue Merle/White,2007-12-06T00:00:00,2013-12-09T18:58:00,Copper,partner,Return to Owner,Neutered Male
3 months,A667823,Cat,Siamese Mix,Calico Point,2013-08-08T00:00:00,2013-12-01T14:02:00,Lulu,partner,Adoption,Spayed Female
4 years,A685640,Cat,Domestic Shorthair Mix,Orange Tabby,2010-08-10T00:00:00,2014-08-16T13:49:00,Garfield,partner,Return to Owner,Neutered Male
3 years,A676916,Dog,Pit Bull Mix,Yellow Brindle/White,2011-04-17T00:00:00,2014-06-18T18:15:00,*Lexie,Behavior,Euthanasia,Spayed Female
3 years,A671143,Cat,Domestic Shorthair Mix,Brown Tabby,2011-01-19T00:00:00,2014-01-28T15:51:00,Sheldon,partner,Adoption,Neutered Male
2 months,A679156,Dog,Labrador Retriever/German Shepherd,White,2014-05-05T00:00:00,2014-07-09T18:45:00,Lucy,partner,Adoption,Spayed Female
1 year,A674618,Bird,Lark Mix,Brown/Black,2013-03-15T00:00:00,2014-03-15T17:54:00,Lucy,Suffering,Euthanasia,Unknown
3 years,A664446,Cat,Domestic Shorthair Mix,Orange Tabby,2010-10-03T00:00:00,2014-03-15T15:27:00,*Riley,Foster,Adoption,Neutered Male
1 year,A680168,Cat,Domestic Shorthair Mix,Silver Tabby,2013-05-30T00:00:00,2014-07-02T14:39:00,Trouble,Partner,Transfer,Neutered Male
8 years,A680452,Cat,Domestic Longhair Mix,Orange Tabby,2006-06-03T00:00:00,2014-06-18T14:08:00,*Buckee,Partner,Transfer,Spayed Female
5 months,A671716,Dog,Australian Cattle Dog/Labrador Retriever,Black/White,2013-08-18T00:00:00,2014-02-05T15:52:00,Rambo,partner,Adoption,Neutered Male
1 year,A660458,Dog,Border Collie/Anatol Shepherd,White/Brown,2012-08-07T00:00:00,2013-11-03T15:59:00,*Aztec,partner,Adoption,Neutered Male
1 month,A686782,Cat,Domestic Shorthair Mix,Gray,2014-07-19T00:00:00,2014-08-26T19:06:00,Lucy,Suffering,Euthanasia,Intact Male
3 years,A663887,Dog,Pit Bull Mix,Red/White,2010-09-25T00:00:00,2013-10-01T15:07:00,Hooch,Medical,Euthanasia,Neutered Male
8 months,A676372,Dog,Siberian Husky Mix,Tricolor,2013-08-08T00:00:00,2014-04-11T16:56:00,Phillia,partner,Return to Owner,Spayed Female
2 months,A674245,Dog,Labrador Retriever Mix,Sable,2014-01-26T00:00:00,2014-03-31T18:29:00,*Bravo,partner,Adoption,Neutered Male
4 months,A682802,Cat,Domestic Shorthair Mix,Black/White,2014-02-16T00:00:00,2014-07-04T09:00:00,Lucy,SCRP,Transfer,Unknown
10 months,A669723,Cat,Domestic Shorthair Mix,Calico,2013-02-26T00:00:00,2013-12-31T15:27:00,*Chloe,Partner,Transfer,Spayed Female
3 months,A680036,Cat,Domestic Shorthair Mix,Black Smoke,2014-04-29T00:00:00,2014-08-21T17:38:00,Smoke Dawg,Foster,Adoption,Neutered Male
5 months,A675322,Cat,Domestic Shorthair Mix,Blue Tabby,2013-10-11T00:00:00,2014-03-28T18:37:00,Lil Bit,partner,Adoption,Spayed Female
2 years,A684853,Cat,Domestic Longhair Mix,Black/White,2012-07-29T00:00:00,2014-07-30T09:00:00,Lucy,SCRP,Transfer,Unknown
1 year,A680063,Dog,Catahoula Mix,Brown Merle/White,2013-05-29T00:00:00,2014-06-11T16:08:00,Mars,partner,Adoption,Neutered Male
8 months,A670891,Cat,Domestic Shorthair Mix,Black,2013-05-15T00:00:00,2014-01-17T13:28:00,Lucy,SCRP,Transfer,Intact Male
8 months,A673951,Cat,Domestic Medium Hair Mix,Black,2013-07-05T00:00:00,2014-03-06T14:29:00,Lucy,SCRP,Transfer,Unknown
2 years,A640464,Dog,Australian Cattle Dog,Red/White,2011-10-25T00:00:00,2014-06-27T11:18:00,Beau,partner,Return to Owner,Neutered Male
1 year,A673709,Cat,Domestic Longhair Mix,Brown Tabby/White,2013-02-28T00:00:00,2014-02-28T18:53:00,Lucy,Suffering,Euthanasia,Unknown
1 year,A686056,Other,Bat Mix,Brown,2013-08-15T00:00:00,2014-08-16T08:45:00,Lucy,partner,Disposal,Unknown
3 months,A677989,Cat,Domestic Shorthair Mix,Black Smoke,2014-04-02T00:00:00,2014-07-12T18:54:00,*Duncan,Foster,Adoption,Neutered Male
5 months,A673989,Cat,Domestic Shorthair Mix,Black,2013-09-20T00:00:00,2014-03-06T14:30:00,Lucy,SCRP,Transfer,Intact Female
11 months,A672177,Dog,Chihuahua Shorthair Mix,Black,2013-03-05T00:00:00,2014-02-09T17:33:00,Winston,partner,Adoption,Neutered Male
2 months,A674112,Dog,Australian Cattle Dog,Red Tick/White,2014-01-07T00:00:00,2014-03-14T17:21:00,*Merrick,partner,Adoption,Spayed Female
10 months,A682365,Dog,Soft Coated Wheaten Terrier Mix,Tan/Black,2013-08-28T00:00:00,2014-07-01T16:58:00,Lucy,partner,Adoption,Spayed Female
1 year,A668767,Dog,German Shepherd Mix,Black/Tan,2012-11-09T00:00:00,2013-12-09T18:29:00,Vincent,partner,Return to Owner,Intact Male
10 years,A683259,Dog,Labrador Retriever Mix,Black/White,2004-07-09T00:00:00,2014-07-23T13:45:00,X,Medical,Euthanasia,Intact Female
3 months,A665219,Dog,Australian Shepherd Mix,Tricolor,2013-09-01T00:00:00,2013-12-28T18:21:00,Sox,Foster,Adoption,Neutered Male
5 years,A681887,Cat,Domestic Shorthair Mix,Blue/White,2009-06-21T00:00:00,2014-07-14T15:06:00,*Belle,partner,Adoption,Spayed Female
2 months,A668137,Dog,German Shepherd Mix,Black/Brown Brindle,2013-10-20T00:00:00,2013-12-23T18:42:00,*Gus,Foster,Adoption,Neutered Male
1 year,A662549,Cat,Domestic Shorthair Mix,Torbie,2012-09-04T00:00:00,2013-10-27T14:45:00,*Natalie,Partner,Transfer,Spayed Female
2 years,A670203,Dog,Catahoula Mix,Brown Merle/White,2012-01-03T00:00:00,2014-01-05T18:02:00,Gucci,partner,Return to Owner,Spayed Female
2 years,A675002,Dog,Pit Bull Mix,Blue/White,2012-03-21T00:00:00,2014-07-16T13:49:00,*Jess,Partner,Transfer,Spayed Female
5 years,A551642,Dog,Basset Hound Mix,White/Brown,2009-05-18T00:00:00,2014-08-21T15:46:00,Bowie,partner,Return to Owner,Spayed Female
2 months,A680310,Dog,Australian Kelpie Mix,Chocolate/White,2014-06-01T00:00:00,2014-08-10T18:49:00,*Paul,Offsite,Adoption,Neutered Male
1 year,A681025,Dog,Chihuahua Shorthair Mix,Red/White,2013-06-11T00:00:00,2014-06-20T16:16:00,*Simone,partner,Adoption,Spayed Female
2 years,A665916,Dog,Chihuahua Shorthair Mix,Tan/White,2011-10-24T00:00:00,2013-11-02T15:40:00,*Wilson,Partner,Transfer,Intact Male
2 years,A666288,Dog,Pug/Beagle,Black/White,2011-10-29T00:00:00,2013-11-19T18:51:00,Magneto,partner,Adoption,Spayed Female
4 years,A682952,Dog,Chihuahua Shorthair/Dachshund,Black/Tan,2010-07-05T00:00:00,2014-07-05T15:27:00,Teddy Roosev,partner,Return to Owner,Neutered Male
1 year,A665101,Cat,Domestic Shorthair Mix,Brown Tabby,2012-10-13T00:00:00,2014-04-19T10:42:00,Buzz,Foster,Adoption,Neutered Male
1 year,A676278,Other,Raccoon Mix,Gray/Black,2013-04-07T00:00:00,2014-04-07T14:18:00,Lucy,Enroute,Died,Unknown
1 month,A683320,Cat,Siamese Mix,Blue Point,2014-05-15T00:00:00,2014-07-14T11:17:00,*Smokie,Partner,Transfer,Neutered Male
3 weeks,A686997,Cat,Domestic Shorthair Mix,Brown Tabby,2014-08-08T00:00:00,2014-08-30T12:57:00,Lucy,Partner,Transfer,Intact Male
2 years,A680946,Dog,Chihuahua Shorthair Mix,White/Black,2012-06-10T00:00:00,2014-08-25T19:16:00,Pinto,partner,Adoption,Neutered Male
3 days,A678113,Cat,Domestic Shorthair Mix,Blue Tabby,2014-05-01T00:00:00,2014-05-04T13:52:00,Lucy,Partner,Transfer,Intact Male
2 years,A679147,Dog,Miniature Poodle/Miniature Schnauzer,Black/White,2012-05-17T00:00:00,2014-05-27T17:51:00,Messi,partner,Return to Owner,Intact Male
1 year,A672495,Other,Raccoon Mix,Black/Gray,2013-02-11T00:00:00,2014-02-11T14:39:00,Lucy,partner,Euthanasia,Unknown
0 years,A677846,Cat,Domestic Shorthair Mix,Black,2014-04-29T00:00:00,2014-04-29T12:35:00,Lucy,Partner,Transfer,Unknown
6 years,A678130,Dog,Australian Shepherd Mix,Tan/White,2008-05-04T00:00:00,2014-06-01T15:03:00,*Sunnie,partner,Adoption,Spayed Female
6 months,A672150,Dog,Chihuahua Shorthair Mix,Black/White,2013-08-05T00:00:00,2014-02-13T17:33:00,Daisy,partner,Return to Owner,Spayed Female
5 years,A664824,Dog,German Shepherd Mix,Black,2008-10-09T00:00:00,2013-10-15T16:56:00,Bella,partner,Adoption,Spayed Female
6 years,A678516,Dog,Chihuahua Shorthair Mix,Black/Tan,2008-05-09T00:00:00,2014-05-16T13:44:00,Lucy,Partner,Transfer,Spayed Female
2 years,A683567,Dog,Labrador Retriever Mix,Brown,2012-07-12T00:00:00,2014-08-09T13:10:00,*Owen,partner,Adoption,Neutered Male
4 days,A683909,Cat,Domestic Shorthair Mix,Orange Tabby,2014-07-14T00:00:00,2014-07-18T15:47:00,Lucy,Partner,Transfer,Unknown
2 years,A667516,Cat,Domestic Medium Hair Mix,Black Smoke,2011-11-19T00:00:00,2013-12-24T12:55:00,*Dark Knight,Partner,Transfer,Neutered Male
2 weeks,A678389,Cat,Domestic Medium Hair Mix,Cream Tabby,2014-04-20T00:00:00,2014-05-08T18:37:00,Lucy,Partner,Transfer,Intact Male
10 months,A678795,Cat,Domestic Shorthair Mix,Black/White,2013-07-12T00:00:00,2014-05-13T21:01:00,Lucy,SCRP,Transfer,Intact Female
4 months,A669953,Dog,Pit Bull Mix,Chocolate/White,2013-08-30T00:00:00,2014-01-03T17:52:00,Lucy,partner,Adoption,Spayed Female
5 months,A682798,Dog,Catahoula Mix,Red Merle/White,2014-02-03T00:00:00,2014-07-09T17:26:00,*Wally,partner,Adoption,Neutered Male
2 months,A681469,Cat,Domestic Shorthair Mix,Orange Tabby/White,2014-04-22T00:00:00,2014-07-04T13:31:00,Smaug,partner,Adoption,Neutered Male
1 year,A674327,Dog,Pit Bull Mix,Brown Brindle/White,2013-03-11T00:00:00,2014-03-31T11:20:00,Bailey,partner,Adoption,Spayed Female
2 years,A671999,Cat,Snowshoe Mix,Calico Point,2012-02-02T00:00:00,2014-02-04T14:02:00,Lucy,SCRP,Transfer,Intact Female
1 year,A669415,Dog,Chihuahua Shorthair Mix,Brown/White,2012-06-20T00:00:00,2013-12-29T13:39:00,Lucy,partner,Adoption,Neutered Male
1 year,A669978,Dog,Whippet Mix,Red,2012-12-31T00:00:00,2014-01-01T17:09:00,Rex,partner,Return to Owner,Neutered Male
15 years,A218624,Dog,Pug,Gold/Gold,1998-10-19T00:00:00,2013-12-02T17:11:00,Cookie,Suffering,Euthanasia,Neutered Male
4 months,A676074,Cat,Domestic Shorthair Mix,Black/White,2013-12-04T00:00:00,2014-04-10T14:11:00,*Fritz,Partner,Transfer,Intact Female
4 weeks,A674138,Other,Raccoon,Brown/Black,2014-02-07T00:00:00,2014-03-07T19:23:00,Lucy,Rabies Risk,Euthanasia,Unknown
2 years,A672411,Dog,Labrador Retriever Mix,Black,2012-02-09T00:00:00,2014-02-13T16:37:00,Glory,Partner,Transfer,Intact Female
4 weeks,A686441,Cat,Domestic Shorthair Mix,Black,2014-07-22T00:00:00,2014-08-22T11:23:00,Lucy,Partner,Transfer,Intact Male
10 years,A677004,Dog,Chihuahua Shorthair Mix,Black/Brown,2004-04-21T00:00:00,2014-05-06T16:02:00,Fanniemae,partner,Adoption,Spayed Female
1 year,A679144,Cat,Domestic Shorthair Mix,Blue,2012-11-17T00:00:00,2014-08-10T17:43:00,Makarov,partner,Adoption,Neutered Male
13 years,A672327,Dog,Miniature Poodle Mix,White,2000-08-08T00:00:00,2014-02-08T12:44:00,Scarlett,partner,Return to Owner,Spayed Female
2 months,A668797,Cat,Domestic Shorthair Mix,Calico,2013-10-25T00:00:00,2014-01-06T17:34:00,*Clarice,Foster,Adoption,Spayed Female
3 months,A668341,Cat,Domestic Shorthair Mix,Blue,2013-09-02T00:00:00,2013-12-03T15:46:00,Lucy,SCRP,Transfer,Intact Female
6 months,A685448,Dog,Chihuahua Shorthair/Cairn Terrier,Tan/White,2014-02-07T00:00:00,2014-08-14T14:49:00,Summer,partner,Adoption,Intact Female
2 years,A664804,Dog,Chihuahua Shorthair Mix,Tan,2011-10-09T00:00:00,2013-10-13T16:46:00,Titi,partner,Return to Owner,Spayed Female
2 years,A665350,Dog,American Bulldog Mix,White/Black,2012-01-16T00:00:00,2014-03-28T19:16:00,Cashew,partner,Adoption,Spayed Female
5 months,A683388,Other,Squirrel Mix,Brown,2014-01-09T00:00:00,2014-07-09T18:42:00,Lucy,Suffering,Euthanasia,Unknown
2 years,A662398,Dog,American Pit Bull Terrier Mix,Tan/White,2011-09-03T00:00:00,2013-10-24T18:04:00,Buddy,partner,Adoption,Neutered Male
5 years,A681550,Dog,Chihuahua Shorthair Mix,Brown/White,2009-06-18T00:00:00,2014-07-09T18:07:00,Lucy,Partner,Transfer,Spayed Female
3 months,A685185,Dog,Great Pyrenees/Australian Cattle Dog,Cream/Red Tick,2014-05-03T00:00:00,2014-08-11T17:55:00,*Roja,partner,Adoption,Spayed Female
1 year,A670923,Dog,Pit Bull Mix,Brown Brindle,2012-03-22T00:00:00,2014-02-06T14:01:00,Kayna,Behavior,Euthanasia,Spayed Female
2 years,A663890,Dog,Rat Terrier,Tricolor,2011-09-25T00:00:00,2013-10-03T18:07:00,Lucy,Partner,Transfer,Spayed Female
1 year,A677326,Dog,German Shepherd/Siberian Husky,Sable,2013-04-23T00:00:00,2014-04-24T11:32:00,Rocky,partner,Return to Owner,Neutered Male
6 months,A683489,Dog,Pit Bull Mix,Blue/White,2014-01-10T00:00:00,2014-07-17T18:04:00,Ukiah,partner,Adoption,Spayed Female
3 years,A584553,Dog,American Staffordshire Terrier/Labrador Retriever,Brown/White,2010-07-01T00:00:00,2014-02-23T14:13:00,Dorian,Partner,Transfer,Neutered Male
1 year,A654038,Cat,Domestic Shorthair Mix,Black,2012-12-30T00:00:00,2014-07-19T16:22:00,Midnight,partner,Return to Owner,Spayed Female
9 months,A667788,Dog,Chihuahua Shorthair Mix,White/Brown,2013-05-22T00:00:00,2014-03-16T15:37:00,Starla,partner,Return to Owner,Spayed Female
3 weeks,A685033,Cat,Domestic Shorthair Mix,Brown Tabby,2014-07-10T00:00:00,2014-08-01T15:02:00,Lucy,Partner,Transfer,Intact Male
1 week,A682862,Cat,Domestic Medium Hair Mix,White,2014-06-27T00:00:00,2014-07-04T10:48:00,Lucy,Partner,Transfer,Unknown
3 years,A669163,Cat,Domestic Longhair,Cream Tabby,2010-12-16T00:00:00,2013-12-18T13:59:00,Lucy,SCRP,Transfer,Intact Male
1 year,A674655,Other,Fox Mix,Brown/Gray,2013-03-16T00:00:00,2014-03-17T10:43:00,Lucy,Medical,Euthanasia,Unknown
1 year,A664354,Dog,Vizsla Mix,Red/White,2012-04-02T00:00:00,2013-10-20T15:16:00,Tazz,partner,Adoption,Neutered Male
3 weeks,A673884,Cat,Domestic Shorthair Mix,Brown Tabby,2014-02-10T00:00:00,2014-03-07T14:38:00,Lucy,Partner,Transfer,Intact Female
3 years,A684159,Dog,Basset Hound Mix,Tricolor,2011-07-20T00:00:00,2014-07-21T16:08:00,Charlie,partner,Return to Owner,Neutered Male
8 months,A670724,Other,Rat Mix,White,2013-05-13T00:00:00,2014-01-15T15:31:00,Lucy,Partner,Transfer,Intact Female
3 weeks,A676963,Cat,Domestic Medium Hair Mix,Blue Tabby,2014-03-26T00:00:00,2014-04-17T17:40:00,Lucy,Partner,Transfer,Intact Female
2 months,A680266,Dog,Border Terrier,Tricolor,2014-03-16T00:00:00,2014-05-31T16:32:00,Lucy,Partner,Transfer,Intact Male
2 years,A667018,Cat,Domestic Shorthair Mix,Torbie,2011-11-11T00:00:00,2013-11-14T17:49:00,Lucy,SCRP,Transfer,Intact Female
